,fridge_1,fridge_2,fridge_3,fridge_4,fridge_5,fridge_6,fridge_7,fridge_8,fridge_9,fridge_10,fridge_11,fridge_12,fridge_13,fridge_14,fridge_15,fridge_16,fridge_17,fridge_18,fridge_19,fridge_20,fridge_21,fridge_22,fridge_23,fridge_24,fridge_25,fridge_26,fridge_27,fridge_28,fridge_29,fridge_30,fridge_31,fridge_32,fridge_33,fridge_34,fridge_35,fridge_36,fridge_37,fridge_38,fridge_39,fridge_40,fridge_41,fridge_42,fridge_43,fridge_44,fridge_45,fridge_46,fridge_47,fridge_48,fridge_49,fridge_50,fridge_51,fridge_52,fridge_53,fridge_54,fridge_55,fridge_56,fridge_57,fridge_58,fridge_59,fridge_60,fridge_61,fridge_62,fridge_63,fridge_64,fridge_65,fridge_66,fridge_67,fridge_68,fridge_69,fridge_70,fridge_71,fridge_72,fridge_73,fridge_74,fridge_75,fridge_76,fridge_77,fridge_78,fridge_79,fridge_80,fridge_81,fridge_82,fridge_83,fridge_84,fridge_85,fridge_86,fridge_87,fridge_88,fridge_89,fridge_90,fridge_91,fridge_92,fridge_93,fridge_94,fridge_95,fridge_96,fridge_97,fridge_98,fridge_99,fridge_100
10,9.0,0,0,274,74.0,0,0,66.0,0.0,69.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0,129.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,43.0,44.0,2.0,46.0,42.0,41.0,2.0,11.0,41.0,2.0,2.0,41.0,45.0,2.0,41.0,2.0,41.0,41.0,2.0,43.0,44.0,45.0,42.0,41.0,44.0,2.0,44.0,2.0,86.0,2.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,2.0,0.0,979.0,54.0,0.0,0.0,0.0,12.0,899.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,59.0
11,0.0,0,0,79,74.0,0,0,66.0,0.0,68.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,1.0,0.0,119.0,0.0,0.0,128.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,43.0,44.0,2.0,46.0,42.0,41.0,2.0,38.0,41.0,2.0,2.0,41.0,45.0,2.0,37.0,41.0,41.0,41.0,2.0,43.0,44.0,45.0,42.0,41.0,44.0,2.0,44.0,2.0,8.0,2.0,0.0,55.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,62.0,53.0,0.0,0.0,895.0,0.0,61.0,933.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,56.0
12,0.0,0,0,74,74.0,0,0,66.0,0.0,68.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,118.0,0.0,0.0,127.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,42.0,44.0,2.0,46.0,42.0,41.0,2.0,38.0,41.0,60.0,2.0,41.0,46.0,2.0,2.0,38.0,41.0,41.0,2.0,43.0,45.0,46.0,41.0,41.0,44.0,2.0,44.0,2.0,3.0,2.0,0.0,53.0,61.0,0.0,0.0,916.0,0.0,0.0,0.0,57.0,0.0,0.0,59.0,5.0,0.0,0.0,63.0,0.0,57.0,62.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,55.0
13,0.0,0,0,73,74.0,0,6,66.0,0.0,68.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,42.0,44.0,2.0,47.0,42.0,41.0,2.0,44.0,41.0,43.0,2.0,41.0,45.0,2.0,2.0,44.0,2.0,2.0,2.0,42.0,45.0,44.0,42.0,41.0,44.0,2.0,44.0,2.0,2.0,2.0,0.0,1.0,58.0,0.0,0.0,60.0,0.0,0.0,0.0,55.0,0.0,0.0,56.0,0.0,0.0,0.0,60.0,0.0,55.0,59.0,0.0,942.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
14,0.0,0,0,73,74.0,0,0,66.0,0.0,67.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,127.0,0.0,759.0,0.0,0.0,42.0,44.0,2.0,45.0,42.0,41.0,2.0,44.0,2.0,50.0,2.0,41.0,44.0,2.0,2.0,44.0,2.0,2.0,2.0,42.0,45.0,44.0,42.0,41.0,44.0,2.0,45.0,2.0,2.0,2.0,0.0,0.0,56.0,0.0,0.0,57.0,0.0,0.0,921.0,40.0,0.0,0.0,55.0,0.0,0.0,0.0,57.0,0.0,54.0,56.0,0.0,62.0,0.0,968.0,0.0,0.0,0.0,0.0,909.0,0.0
15,0.0,0,112,73,74.0,0,0,2.0,0.0,67.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1388.0,0.0,0.0,1.0,0.0,0.0,123.0,0.0,0.0,121.0,0.0,133.0,0.0,0.0,42.0,44.0,2.0,44.0,41.0,41.0,47.0,44.0,2.0,51.0,2.0,41.0,43.0,2.0,2.0,44.0,2.0,2.0,2.0,42.0,45.0,43.0,42.0,41.0,44.0,2.0,45.0,2.0,2.0,2.0,0.0,0.0,54.0,0.0,0.0,55.0,0.0,0.0,63.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,55.0,0.0,3.0,55.0,0.0,59.0,0.0,62.0,0.0,0.0,0.0,0.0,61.0,0.0
16,0.0,0,80,73,74.0,0,0,0.0,0.0,67.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,121.0,0.0,0.0,42.0,44.0,2.0,43.0,41.0,41.0,37.0,44.0,2.0,54.0,2.0,2.0,43.0,2.0,2.0,44.0,2.0,2.0,2.0,42.0,45.0,43.0,41.0,41.0,44.0,2.0,45.0,2.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,53.0,0.0,0.0,60.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,53.0,0.0,0.0,53.0,0.0,57.0,0.0,59.0,0.0,968.0,0.0,935.0,58.0,0.0
17,0.0,0,73,74,74.0,0,317,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,121.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,121.0,0.0,0.0,42.0,45.0,2.0,43.0,41.0,41.0,44.0,45.0,2.0,53.0,2.0,2.0,43.0,2.0,2.0,45.0,2.0,2.0,2.0,42.0,45.0,43.0,41.0,41.0,43.0,2.0,45.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,948.0,0.0,0.0,0.0,0.0,34.0,0.0,55.0,951.0,57.0,0.0,60.0,0.0,60.0,56.0,0.0
18,0.0,0,69,74,74.0,0,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1397.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,118.0,0.0,0.0,42.0,45.0,2.0,43.0,41.0,41.0,44.0,45.0,2.0,52.0,2.0,2.0,43.0,2.0,2.0,45.0,2.0,2.0,2.0,42.0,45.0,43.0,41.0,41.0,43.0,2.0,45.0,2.0,188.0,2.0,0.0,0.0,0.0,0.0,979.0,0.0,0.0,0.0,55.0,0.0,0.0,989.0,0.0,0.0,64.0,919.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,55.0,0.0,57.0,924.0,58.0,54.0,0.0
19,0.0,0,67,74,74.0,0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,0.0,121.0,0.0,2.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,117.0,0.0,0.0,42.0,44.0,2.0,43.0,41.0,41.0,44.0,45.0,2.0,51.0,2.0,2.0,42.0,2.0,2.0,45.0,2.0,2.0,2.0,42.0,46.0,43.0,41.0,41.0,43.0,2.0,44.0,2.0,188.0,2.0,233.8,0.0,0.0,0.0,61.0,0.0,0.0,0.0,54.0,0.0,0.0,62.0,0.0,0.0,60.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,54.0,0.0,55.0,61.0,56.0,43.0,0.0
